full_address,LON,LAT
"86 KILLDEER ROAD,WEBSTER, MA, 1570.0",-71.8438183,42.0519039
"119 BARNETT ROAD,SUTTON, MA, 1590",-71.7116957,42.100685399999996
"358 MAMMOTH ROAD,LOWELL, MA, 1854.0",-71.3412776,42.656292799999996
"720 HARRISON AVENUE,BOSTON, MA, 2118.0",-71.07091120000001,42.3377773
"102 DEVON STREET,DORCHESTER, MA, 2121",-71.07811120000001,42.309157299999995
"375 ACORN PARK DRIVE,BELMONT, MA, 2478",-71.1543498,42.3993071
"19 WEBSTER COURT,LAWRENCE, MA, 1841.0",-71.1557739,42.7174439
"3 KIMBALL COURT,WOBURN, MA, 1801.0",-71.1679949,42.5011638
"47 ROSEWOOD LANE,SWANSEA, MA, 2777.0",-71.24018840000001,41.7461591
"30 INCA ROAD,OAK BLUFFS, MA, 02568",-70.57303,41.452071999999994
"35 EUSTIS STREET,CAMBRIDGE, MA, 2140",-71.1144696,42.3835883
"50 MURRAY AVENUE,WORCESTER, MA, 1610.0",-71.80732359999999,42.259641200000004
"1401 POULIOT PLACE,WILMINGTON, MA, 1887.0",-71.2109886,42.5623469
"106 FERNWOOD ROAD,BROOKLINE, MA, 2467.0",-71.1462516,42.320686
"1 KARELITZ ROAD,PEABODY, MA, 1960.0",-70.9471715,42.5333309
"8 PROWER LANDING,PLYMOUTH, MA, 2360.0",-70.6010004,41.8923316
"231 EVERETT STREET,BRIGHTON, MA, 2134.0",-71.1359942,42.3610033
"7 PENOBSCOT STREET,MEDFIELD, MA, 2052.0",-71.3112929,42.1502114
"47 NAMELOC ROAD,PLYMOUTH, MA, 2360.0",-70.5443887,41.820446399999994
"502 ARBORETUM WAY,CANTON, MA, 2021.0",-71.1031515,42.1653394
